height, weight, label
185,43,fat
187,76,fat
194,73,fat
133,69,fat
138,67,fat
134,54,fat
160,75,fat
139,68,fat
197,64,fat
147,50,fat
163,38,fat
169,58,fat
143,69,fat
196,42,fat
191,42,fat
179,47,fat
121,63,fat
191,50,fat
133,63,fat
177,36,fat
162,70,fat
157,43,fat
136,79,fat
176,61,fat
125,51,fat
188,80,fat
164,38,fat
165,60,fat
121,62,fat
125,36,fat
178,61,fat
158,80,fat
198,68,fat
197,36,fat
193,61,fat
126,75,fat
133,60,fat
176,53,fat
169,44,fat
145,63,fat
176,62,fat
173,50,fat
192,78,fat
199,50,fat
177,80,fat
175,65,fat
181,68,fat
144,53,fat
140,50,fat
184,63,fat
149,40,fat
156,65,fat
195,64,fat
170,59,fat
179,71,fat
171,55,fat
154,69,fat
152,54,fat
145,65,fat
191,67,fat
177,53,fat
161,41,fat
128,70,fat
144,46,fat
129,76,fat
137,74,fat
170,60,fat
192,62,fat
175,47,fat
149,44,fat
198,39,fat
176,54,fat
161,37,fat
174,40,fat
132,77,fat
175,54,fat
194,51,fat
152,50,fat
179,44,fat
174,78,fat
188,39,fat
195,63,fat
159,56,fat
144,59,fat
151,49,fat
133,35,fat
191,78,fat
167,62,fat
136,64,fat
194,40,fat
137,36,fat
188,49,fat
163,46,fat
131,61,fat
137,55,fat
165,78,fat
138,72,fat
187,36,fat
157,52,fat
148,69,fat
193,75,fat
149,57,fat
176,48,fat
127,45,fat
163,70,fat
135,60,fat
148,79,fat
140,80,fat
173,64,fat
136,67,fat
200,61,fat
176,69,fat
143,57,fat
157,38,fat
151,74,fat
169,77,fat
142,40,fat
130,72,fat
174,76,fat
128,46,fat
155,59,fat
137,54,fat
146,49,fat
128,49,fat
141,52,fat
141,54,fat
127,77,fat
185,40,fat
159,51,fat
185,60,fat
161,53,fat
162,53,fat
167,67,fat
188,58,fat
199,45,fat
194,70,fat
189,73,fat
195,69,fat
185,72,fat
196,35,fat
183,57,fat
187,51,fat
192,55,fat
187,35,fat
165,48,fat
183,77,fat
150,80,fat
138,77,fat
121,79,fat
141,42,fat
147,57,fat
140,72,fat
188,76,fat
121,61,fat
141,59,fat
166,74,fat
199,77,fat
199,36,fat
178,52,fat
167,70,fat
172,63,fat
127,80,fat
121,80,fat
190,43,fat
168,66,fat
128,39,fat
197,79,fat
135,75,fat
165,46,fat
174,72,fat
132,47,fat
200,48,fat
130,58,fat
131,77,fat
197,78,fat
137,56,fat
158,68,fat
155,78,fat
165,77,fat
147,38,fat
134,80,fat
179,76,fat
200,73,fat
142,66,fat
180,61,fat
189,77,fat
138,71,fat
174,41,fat
146,71,fat
137,51,fat
133,67,fat
144,35,fat
190,46,fat
163,35,fat
125,39,fat
137,68,fat
194,53,fat
168,56,fat
170,80,fat
185,55,fat
198,42,fat
143,50,fat
140,54,fat
153,80,fat
156,35,fat
120,68,fat
123,71,fat
167,45,fat
159,70,fat
186,37,fat
193,37,fat
136,80,fat
123,35,fat
126,49,fat
192,74,fat
151,41,fat
150,60,fat
125,61,fat
189,52,fat
179,74,fat
194,50,fat
186,67,fat
157,52,fat
128,49,fat
142,36,fat
127,41,fat
144,46,fat
141,62,fat
185,45,fat
150,51,fat
126,45,fat
147,36,fat
131,63,fat
174,65,fat
178,79,fat
193,59,fat
196,56,fat
197,35,fat
161,79,fat
120,64,fat
129,46,fat
140,54,fat
140,46,fat
188,73,fat
167,42,fat
193,57,fat
199,60,fat
170,50,fat
166,62,fat
148,57,fat
165,78,fat
134,71,fat
182,57,fat
188,78,fat
166,62,fat
133,59,fat
160,40,fat
158,62,fat
144,78,fat
129,57,fat
129,37,fat
131,57,fat
120,59,fat
191,50,fat
180,52,fat
180,44,fat
139,75,fat
191,56,fat
165,74,fat
167,75,fat
133,53,fat
158,53,fat
140,55,fat
180,49,fat
144,63,fat
200,44,fat
150,76,fat
142,68,fat
161,60,fat
194,44,fat
147,42,fat
155,42,fat
126,58,fat
197,66,fat
176,56,fat
164,38,fat
137,75,fat
149,37,fat
143,40,fat
135,75,fat
140,41,fat
195,61,fat
146,36,fat
159,73,fat
160,68,fat
155,42,fat
177,71,fat
150,61,fat
145,57,fat
200,66,fat
154,40,fat
199,36,fat
149,55,fat
157,40,fat
159,79,fat
157,78,fat
173,41,fat
162,43,fat
124,65,fat
144,55,fat
184,77,fat
184,58,fat
129,62,fat
170,45,fat
124,80,fat
132,40,fat
163,47,fat
183,54,fat
152,47,fat
134,65,fat
152,62,fat
186,71,fat
138,66,fat
176,39,fat
174,78,fat
122,73,fat
148,73,fat
162,63,fat
194,53,fat
165,58,fat
199,37,fat
186,43,fat
198,51,fat
191,68,fat
177,46,fat
161,62,fat
181,80,fat
187,42,fat
153,70,fat
194,51,fat
156,75,fat
167,73,fat
188,53,fat
197,68,fat
160,72,fat
135,60,fat
197,52,fat
132,35,fat
189,63,fat
131,36,fat
132,59,fat
156,73,fat
181,55,fat
179,51,fat
161,72,fat
183,50,fat
120,56,fat
179,74,fat
127,40,fat
157,67,fat
199,55,fat
181,75,fat
166,41,fat
182,37,fat
184,52,fat
127,56,fat
160,62,fat
167,39,fat
141,42,fat
142,54,fat
163,68,fat
167,57,fat
126,77,fat
157,52,fat
177,67,fat
128,57,fat
188,47,fat
176,70,fat
165,52,fat
181,65,fat
156,76,fat
177,63,fat
148,57,fat
120,75,fat
144,48,fat
130,76,fat
129,79,fat
182,48,fat
179,55,fat
130,45,fat
145,65,fat
121,70,fat
192,66,fat
186,46,fat
194,78,fat
146,78,fat
200,73,fat
158,70,fat
163,78,fat
178,53,fat
149,38,fat
191,60,fat
141,48,fat
179,41,fat
192,64,fat
189,57,fat
140,42,fat
143,59,fat
140,73,fat
149,39,fat
183,57,fat
164,45,fat
120,50,fat
132,46,fat
150,72,fat
143,40,fat
175,36,fat
158,66,fat
178,38,fat
193,53,fat
179,71,fat
182,55,fat
192,64,fat
151,67,fat
171,51,fat
173,67,fat
161,47,fat
136,37,fat
171,56,fat
154,70,fat
170,64,fat
199,48,fat
149,48,fat
199,54,fat
183,63,fat
190,37,fat
197,75,fat
163,65,fat
181,68,fat
125,57,fat
163,47,fat
199,70,fat
137,36,fat
180,46,fat
147,70,fat
149,42,fat
180,74,fat
149,46,fat
164,61,fat
175,39,fat
165,67,fat
187,67,fat
139,51,fat
169,38,fat
187,77,fat
136,59,fat
156,49,fat
189,70,fat
173,61,fat
140,52,fat
198,52,fat
123,54,fat
182,41,fat
127,63,fat
150,64,fat
132,42,fat
139,76,fat
138,80,fat
198,59,fat
139,37,fat
197,36,fat
128,53,fat
173,39,fat
167,53,fat
154,41,fat
124,62,fat
142,62,fat
132,72,fat
155,60,fat
177,50,fat
166,70,fat
182,56,fat
143,50,fat
167,40,fat
194,50,fat
143,67,fat
122,77,fat
129,77,fat
163,56,fat
153,73,fat
180,54,fat
142,66,fat
138,80,fat
182,64,fat
159,49,fat
160,46,fat
139,35,fat
160,65,fat
169,75,fat
129,40,fat
141,61,fat
141,53,fat
169,69,fat
134,58,fat
179,63,fat
168,75,fat
179,35,fat
150,44,fat
191,63,fat
180,73,fat
178,40,fat
139,79,fat
144,45,fat
